fuzzer_id,run_id,iteration_id,Setup,Prover & Verifier,full
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,3,3,1.23s,4.86s,6.445314645767212
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,4,1,764.34ms,4.28s,5.2555341720581055
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,4,2,1.02s,4.49s,5.739556074142456
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,4,3,845.73ms,5.04s,6.1908183097839355
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,5,1,850.62ms,3.49s,4.6001622676849365
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,5,2,835.01ms,4.01s,5.159219741821289
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,5,3,793.12ms,3.92s,4.931467771530151
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,6,1,764.89ms,3.66s,4.691793441772461
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,6,2,748.03ms,3.90s,4.8395302295684814
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,6,3,941.89ms,4.70s,5.882948875427246
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,7,1,1.64s,4.28s,6.1795220375061035
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,7,2,941.54ms,4.07s,5.243653297424316
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,7,3,897.71ms,3.62s,4.740490913391113
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,8,1,795.53ms,4.05s,5.140240907669067
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,8,2,714.80ms,3.66s,4.544361352920532
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,8,3,715.17ms,3.83s,4.7964630126953125
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,9,1,709.90ms,3.96s,4.842782735824585
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,9,2,764.39ms,3.42s,4.410475969314575
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,9,3,752.44ms,3.75s,4.715060472488403
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,10,1,788.58ms,3.41s,4.44471549987793
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,10,2,798.96ms,3.90s,4.86313271522522
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,10,3,743.15ms,4.22s,5.154335021972656
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,11,1,2.15s,5.70s,8.044787168502808
