fuzzer_id,run_id,iteration_id,timestamp,execution_exitcode,execution_time,execution_is_timeout,last_context,panic_message,panic_location,circuits_accumulated_size,circuits_count,circuits_inputs,circuits_outputs
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,3,1773424426,0,5.030016183853149,False,Prover & Verifier,,,734,5,3,5
38fff377-95dd-43e0-be28-cb7ac12da36d,1,1,1773425478,0,4.866466283798218,False,Prover & Verifier,,,709,6,1,2
38fff377-95dd-43e0-be28-cb7ac12da36d,1,2,1773425488,0,4.723971605300903,False,Prover & Verifier,,,709,6,1,2
38fff377-95dd-43e0-be28-cb7ac12da36d,1,3,1773425498,0,4.821963548660278,False,Prover & Verifier,,,709,6,1,2
43d9740d-9993-45eb-8f57-d437111a1bff,1,1,1773425761,0,4.3090808391571045,False,Prover & Verifier,,,212,4,9,6
43d9740d-9993-45eb-8f57-d437111a1bff,1,2,1773425769,0,3.970560073852539,False,Prover & Verifier,,,212,4,9,6
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,1,1773425907,0,5.109789609909058,False,Prover & Verifier,,,851,7,8,4
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,2,1773425917,0,5.242627859115601,False,Prover & Verifier,,,851,7,8,4
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,3,1773425926,0,4.575861692428589,False,Prover & Verifier,,,851,7,8,4
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,2,1,1773425938,0,4.714558362960815,False,Prover & Verifier,,,648,3,2,6
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,2,2,1773425947,0,4.029152154922485,False,Prover & Verifier,,,648,3,2,6
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,2,3,1773425956,0,4.773266792297363,False,Prover & Verifier,,,648,3,2,6
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,3,1,1773430095,0,4129.610399484634,False,Prover & Verifier,,,397,4,1,10
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,3,2,1773430115,0,9.2130765914917,False,Prover & Verifier,,,397,4,1,10
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,3,3,1773430129,0,6.445314645767212,False,Prover & Verifier,,,397,4,1,10
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,4,1,1773430144,0,5.2555341720581055,False,Prover & Verifier,,,298,7,6,1
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,4,2,1773430152,0,5.739556074142456,False,Prover & Verifier,,,298,7,6,1
